Subtheme,Topic,YearRange5,Count
"Organizational Justice, Ethics, and Legal Issues",Drug testing and adolescent substance use,1980-1984,1
"Organizational Justice, Ethics, and Legal Issues",Drug testing and adolescent substance use,1985-1989,3
"Organizational Justice, Ethics, and Legal Issues",Drug testing and adolescent substance use,1990-1994,13
"Organizational Justice, Ethics, and Legal Issues",Drug testing and adolescent substance use,1995-1999,5
"Organizational Justice, Ethics, and Legal Issues",Drug testing and adolescent substance use,2000-2004,2
"Organizational Justice, Ethics, and Legal Issues",Drug testing and adolescent substance use,2005-2009,2
"Organizational Justice, Ethics, and Legal Issues",Drug testing and adolescent substance use,2010-2014,1
"Organizational Justice, Ethics, and Legal Issues",Drug testing and adolescent substance use,2015-2019,1
"Organizational Justice, Ethics, and Legal Issues",Drug testing and adolescent substance use,2020-2024,2
"Organizational Justice, Ethics, and Legal Issues",Eyewitness testimony and identification,1980-1984,2
"Organizational Justice, Ethics, and Legal Issues",Eyewitness testimony and identification,1985-1989,16
"Organizational Justice, Ethics, and Legal Issues",Eyewitness testimony and identification,1990-1994,11
"Organizational Justice, Ethics, and Legal Issues",Eyewitness testimony and identification,1995-1999,15
"Organizational Justice, Ethics, and Legal Issues",Eyewitness testimony and identification,2000-2004,16
"Organizational Justice, Ethics, and Legal Issues",Eyewitness testimony and identification,2005-2009,1
"Organizational Justice, Ethics, and Legal Issues",Jury trials and legal proceedings,1985-1989,5
"Organizational Justice, Ethics, and Legal Issues",Jury trials and legal proceedings,1990-1994,4
"Organizational Justice, Ethics, and Legal Issues",Jury trials and legal proceedings,1995-1999,10
"Organizational Justice, Ethics, and Legal Issues",Jury trials and legal proceedings,2000-2004,11
"Organizational Justice, Ethics, and Legal Issues",Lie detection and criminal guilt,1980-1984,1
"Organizational Justice, Ethics, and Legal Issues",Lie detection and criminal guilt,1985-1989,4
"Organizational Justice, Ethics, and Legal Issues",Lie detection and criminal guilt,1990-1994,7
"Organizational Justice, Ethics, and Legal Issues",Lie detection and criminal guilt,1995-1999,5
"Organizational Justice, Ethics, and Legal Issues",Lie detection and criminal guilt,2000-2004,4
"Organizational Justice, Ethics, and Legal Issues",Lie detection and criminal guilt,2005-2009,1
"Organizational Justice, Ethics, and Legal Issues",Moral identity and ethical behavior,1990-1994,1
"Organizational Justice, Ethics, and Legal Issues",Moral identity and ethical behavior,2000-2004,1
"Organizational Justice, Ethics, and Legal Issues",Moral identity and ethical behavior,2005-2009,5
"Organizational Justice, Ethics, and Legal Issues",Moral identity and ethical behavior,2010-2014,8
"Organizational Justice, Ethics, and Legal Issues",Moral identity and ethical behavior,2015-2019,18
"Organizational Justice, Ethics, and Legal Issues",Moral identity and ethical behavior,2020-2024,10
"Organizational Justice, Ethics, and Legal Issues",Organizational justice and fairness,1980-1984,1
"Organizational Justice, Ethics, and Legal Issues",Organizational justice and fairness,1985-1989,6
"Organizational Justice, Ethics, and Legal Issues",Organizational justice and fairness,1990-1994,8
"Organizational Justice, Ethics, and Legal Issues",Organizational justice and fairness,1995-1999,10
"Organizational Justice, Ethics, and Legal Issues",Organizational justice and fairness,2000-2004,18
"Organizational Justice, Ethics, and Legal Issues",Organizational justice and fairness,2005-2009,24
"Organizational Justice, Ethics, and Legal Issues",Organizational justice and fairness,2010-2014,16
"Organizational Justice, Ethics, and Legal Issues",Organizational justice and fairness,2015-2019,16
"Organizational Justice, Ethics, and Legal Issues",Organizational justice and fairness,2020-2024,12
"Organizational Justice, Ethics, and Legal Issues",Personnel selection and adverse impact,1985-1989,4
"Organizational Justice, Ethics, and Legal Issues",Personnel selection and adverse impact,1990-1994,4
"Organizational Justice, Ethics, and Legal Issues",Personnel selection and adverse impact,1995-1999,4
"Organizational Justice, Ethics, and Legal Issues",Personnel selection and adverse impact,2000-2004,1
"Organizational Justice, Ethics, and Legal Issues",Personnel selection and adverse impact,2005-2009,6
"Organizational Justice, Ethics, and Legal Issues",Personnel selection and adverse impact,2010-2014,5
"Organizational Justice, Ethics, and Legal Issues",Personnel selection and adverse impact,2015-2019,2
"Organizational Justice, Ethics, and Legal Issues",Personnel selection and adverse impact,2020-2024,5
Social Justice & Labor Opinions,Public opinion and urban environment,1985-1989,1
Social Justice & Labor Opinions,Union commitment and loyalty,1980-1984,2
Social Justice & Labor Opinions,Union commitment and loyalty,1985-1989,6
Social Justice & Labor Opinions,Union commitment and loyalty,1990-1994,4
Social Justice & Labor Opinions,Union commitment and loyalty,1995-1999,2
Social Justice & Labor Opinions,Union commitment and loyalty,2000-2004,5
Social Justice & Labor Opinions,Union commitment and loyalty,2005-2009,5
Work and Employment Transitions across the Lifespan,Absenteeism and work reemployment,1980-1984,4
Work and Employment Transitions across the Lifespan,Absenteeism and work reemployment,1985-1989,7
Work and Employment Transitions across the Lifespan,Absenteeism and work reemployment,1990-1994,10
Work and Employment Transitions across the Lifespan,Absenteeism and work reemployment,1995-1999,3
